Time (ms)	Ch1 V	Ch2 V	Ch1 A	Ch2 A	RPM	Torque
0.000	40.164	0.006	1.156	0.007	1594.735	-0.004
0.032	40.158	0.000	1.140	-0.009	1594.735	-0.005
0.064	40.158	0.000	1.148	-0.001	1582.550	-0.006
0.096	40.164	0.000	1.148	-0.001	1583.768	-0.009
0.128	40.152	-0.006	1.156	-0.009	1591.079	-0.010
0.160	40.146	-0.006	1.164	-0.001	1598.390	-0.009
0.192	40.146	-0.018	1.148	-0.001	1583.768	-0.008
0.224	40.146	-0.012	1.172	-0.009	1575.239	-0.000
0.256	40.146	0.000	1.156	0.007	1588.642	-0.003
0.288	40.140	-0.006	1.164	-0.001	1595.953	-0.004
0.320	40.140	-0.012	1.164	-0.009	1595.953	-0.004
0.352	40.146	-0.006	1.156	-0.001	1583.768	-0.005
0.384	40.140	-0.006	1.156	-0.001	1586.205	-0.009
0.416	40.128	-0.012	1.148	0.007	1593.516	-0.010
0.448	40.134	0.000	1.156	-0.001	1598.390	-0.009
0.480	40.134	0.000	1.156	-0.001	1587.424	-0.006
0.512	40.134	-0.006	1.148	-0.009	1580.113	-0.003
0.544	40.128	0.006	1.164	-0.001	1591.079	-0.003
0.576	40.128	-0.012	1.156	-0.001	1595.953	-0.004
0.608	40.134	-0.006	1.156	-0.001	1595.953	-0.004
0.640	40.134	0.000	1.148	-0.001	1582.550	-0.004
0.672	40.116	-0.006	1.148	-0.001	1587.424	-0.006
0.704	40.116	-0.006	1.140	-0.001	1592.298	-0.009
0.736	40.116	-0.006	1.140	-0.001	1599.609	-0.004
0.768	40.110	-0.006	1.148	0.007	1584.987	-0.005
0.800	40.104	-0.006	1.140	-0.001	1583.768	-0.000
0.832	40.110	-0.006	1.131	0.007	1591.079	-0.000
0.864	40.098	0.000	1.131	-0.001	1599.609	-0.002
0.896	40.104	-0.006	1.123	-0.001	1588.642	-0.000
0.928	40.091	-0.006	1.123	-0.001	1580.113	-0.006
0.960	40.098	-0.018	1.123	-0.001	1587.424	-0.008
0.992	40.091	0.006	1.107	0.007	1592.298	-0.006
1.024	40.098	-0.012	1.107	-0.001	1588.642	-0.005
