Time (ms)	Ch1 V	Ch2 V	Ch1 A	Ch2 A	RPM	Torque
0.000	-0.463	17.723	4.562	2.056	794.846	-0.623
0.002	-0.475	17.711	4.537	2.047	802.157	-0.620
0.003	-0.457	17.693	4.529	2.039	802.157	-0.621
0.005	-0.457	17.686	4.505	2.056	802.157	-0.622
0.006	-0.457	17.656	4.472	2.072	802.157	-0.621
0.008	-0.457	17.638	4.456	2.047	799.720	-0.621
0.009	-0.463	17.613	4.439	2.047	797.283	-0.621
0.011	-0.463	17.607	4.423	2.056	796.065	-0.622
0.012	-0.457	17.577	4.406	2.056	792.409	-0.626
0.014	-0.463	17.553	4.365	2.056	793.628	-0.623
0.015	-0.463	17.534	4.365	2.056	792.409	-0.622
0.017	-0.457	17.516	4.349	2.056	789.973	-0.623
0.019	-0.451	17.498	4.316	2.047	788.754	-0.623
0.020	-0.457	17.559	4.308	2.056	786.317	-0.623
0.022	-0.444	17.553	4.300	2.047	786.317	-0.623
0.023	-0.451	17.553	4.275	2.064	785.099	-0.621
0.025	-0.438	17.540	4.251	2.047	783.880	-0.622
0.026	-0.451	17.553	4.243	2.056	782.662	-0.622
0.028	-0.444	17.528	4.234	2.056	781.443	-0.625
0.029	-0.438	17.534	4.210	2.064	782.662	-0.622
0.031	-0.444	17.510	4.193	2.056	783.880	-0.619
0.033	-0.438	17.504	4.177	2.056	785.099	-0.621
0.034	-0.444	17.492	4.152	2.047	791.191	-0.620
0.036	-0.432	17.486	4.136	2.064	797.283	-0.619
0.037	-0.438	17.467	4.136	2.056	803.376	-0.619
0.039	-0.438	17.455	4.120	2.047	803.376	-0.619
0.040	-0.432	17.437	4.103	2.056	803.376	-0.617
0.042	-0.432	17.425	4.087	2.056	800.939	-0.619
0.043	-0.420	17.419	4.071	2.056	800.939	-0.619
0.045	-0.426	17.400	4.046	2.064	797.283	-0.619
0.046	-0.426	17.382	4.021	2.064	798.502	-0.620
0.048	-0.426	17.370	4.013	2.056	796.065	-0.620
0.050	-0.414	17.370	3.997	2.047	794.846	-0.616
0.051	-0.414	17.333	3.980	2.056	791.191	-0.617
0.053	-0.420	17.333	3.980	2.064	791.191	-0.616
0.054	-0.426	17.309	3.964	2.064	789.973	-0.617
0.056	-0.414	17.309	3.948	2.064	788.754	-0.617
0.057	-0.408	17.285	3.931	2.056	788.754	-0.616
0.059	-0.420	17.291	3.931	2.056	788.754	-0.616
0.060	-0.408	17.260	3.907	2.056	785.099	-0.620
0.062	-0.402	17.266	3.890	2.047	785.099	-0.619
0.064	-0.408	17.236	3.874	2.047	782.662	-0.621
0.065	-0.402	17.236	3.866	2.056	782.662	-0.619
0.067	-0.414	17.224	3.841	2.056	779.006	-0.623
0.068	-0.402	17.212	3.833	2.072	781.443	-0.625
0.070	-0.402	17.206	3.808	2.064	787.536	-0.625
0.071	-0.408	17.206	3.792	2.064	793.628	-0.622
0.073	-0.402	17.199	3.784	2.056	799.720	-0.626
0.074	-0.396	17.193	3.776	2.064	802.157	-0.625
0.076	-0.396	17.181	3.768	2.064	803.376	-0.623
0.077	-0.402	17.187	3.735	2.047	802.157	-0.627
0.079	-0.396	17.169	3.743	2.064	798.502	-0.626
0.081	-0.396	17.175	3.718	2.072	798.502	-0.625
0.082	-0.390	17.157	3.702	2.064	797.283	-0.626
0.084	-0.396	17.169	3.686	2.056	796.065	-0.628
0.085	-0.384	17.151	3.686	2.072	794.846	-0.628
0.087	-0.384	17.169	3.653	2.056	792.409	-0.630
0.088	-0.384	17.157	3.653	2.056	792.409	-0.627
