Time (ms)	Ch1 V	Ch2 V	Ch3 V	Ch1 A	Ch2 A	Ch3 A	RPM	Torque
0.000	-6.265	-19.866	26.125	0.041	0.016	0.025	-2.735	0.002
0.063	-6.825	-19.452	26.289	0.033	0.025	0.025	-1.495	0.003
0.125	-7.428	-19.026	26.460	0.041	0.033	0.025	-0.255	0.002
0.188	-8.030	-18.612	26.642	0.049	0.033	0.033	-0.255	0.002
0.250	-8.597	-18.192	26.801	0.041	0.025	0.016	-1.495	0.000
0.313	-9.169	-17.784	26.953	0.041	0.033	0.025	-0.255	0.002
0.375	-9.747	-17.358	27.123	0.041	0.033	0.025	-0.255	0.002
0.438	-10.283	-16.962	27.257	0.041	0.033	0.033	0.986	-0.001
0.500	-10.831	-16.566	27.403	0.033	0.025	0.016	-0.255	0.000
0.563	-11.361	-16.164	27.537	0.041	0.025	0.041	-0.255	0.000
0.625	-11.903	-15.757	27.671	0.016	0.016	0.025	0.986	0.000
0.688	-12.469	-15.312	27.805	0.033	0.025	0.025	0.986	0.002
0.751	-13.072	-14.849	27.939	0.041	0.016	0.016	0.986	0.000
0.813	-13.717	-14.338	28.061	0.049	0.025	0.025	-0.255	0.000
0.876	-14.326	-13.814	28.158	0.041	0.025	0.025	-0.255	0.002
0.938	-14.843	-13.315	28.195	0.041	0.025	0.016	0.986	0.000
1.001	-15.342	-12.810	28.171	0.033	0.016	0.025	-0.255	0.002
1.063	-15.842	-12.341	28.201	0.041	0.025	0.025	0.986	0.000
1.126	-16.298	-11.890	28.189	0.033	0.033	0.025	-0.255	0.002
1.188	-16.737	-11.416	28.164	0.033	0.041	0.025	-0.255	0.002
1.251	-17.169	-10.910	28.104	0.033	0.025	0.025	-0.255	0.004
1.314	-17.559	-10.423	27.994	0.041	0.025	0.016	0.986	0.004
1.376	-17.954	-9.893	27.878	0.041	0.033	0.033	0.986	0.003
1.439	-18.350	-9.333	27.690	0.033	0.025	0.016	0.986	0.003
1.501	-18.715	-8.700	27.428	0.033	0.025	0.033	-0.255	0.004
1.564	-19.105	-7.963	27.093	0.041	0.025	0.025	0.986	0.006
1.626	-19.519	-7.142	26.673	0.049	0.025	0.033	-0.255	0.005
1.689	-19.988	-6.192	26.192	0.033	0.025	0.025	-0.255	0.005
1.751	-20.444	-5.212	25.674	0.025	0.025	0.025	-1.495	0.004
1.814	-20.889	-4.237	25.139	0.033	0.025	0.033	0.986	0.005
1.876	-21.358	-3.294	24.670	0.033	0.025	0.033	-0.255	0.004
1.939	-21.845	-2.381	24.231	0.033	0.016	0.033	-0.255	0.003
2.002	-22.283	-1.583	23.872	0.033	0.016	0.025	0.986	0.005
2.064	-22.709	-0.798	23.513	0.041	0.033	0.025	0.986	0.004
2.127	-23.117	-0.049	23.172	0.041	0.025	0.016	-0.255	0.004
2.189	-23.483	0.651	22.831	0.033	0.025	0.016	0.986	0.003
2.252	-23.811	1.309	22.490	0.033	0.025	0.033	0.986	0.002
2.314	-24.091	1.967	22.137	0.033	0.025	0.033	-0.255	0.003
2.377	-24.384	2.612	21.766	0.033	0.025	0.033	-1.495	-0.002
2.439	-24.658	3.239	21.406	0.041	0.033	0.025	-0.255	0.000
2.502	-24.932	3.866	21.059	0.041	0.025	0.025	-0.255	0.000
2.565	-25.199	4.469	20.718	0.041	0.016	0.025	0.986	0.000
2.627	-25.473	5.084	20.378	0.033	0.025	0.025	-1.495	0.000
2.690	-25.711	5.644	20.061	0.033	0.025	0.025	-0.255	0.002
2.752	-25.960	6.234	19.696	0.041	0.033	0.033	-0.255	0.002
2.815	-26.167	6.813	19.336	0.041	0.016	0.033	2.226	0.003
2.877	-26.381	7.403	18.965	0.025	0.025	0.025	-0.255	0.002
2.940	-26.581	7.970	18.575	0.033	0.033	0.033	0.986	0.003
3.002	-26.728	8.566	18.143	0.033	0.025	0.025	-0.255	0.000
3.065	-26.849	9.132	17.705	0.033	0.025	0.025	-0.255	0.002
3.127	-26.965	9.680	17.254	0.033	0.025	0.033	0.986	0.000
3.190	-27.105	10.259	16.822	0.033	0.016	0.025	0.986	0.003
3.253	-27.202	10.807	16.371	0.033	0.016	0.025	-1.495	0.004
3.315	-27.361	11.385	15.939	0.041	0.033	0.025	-0.255	0.004
3.378	-27.495	11.982	15.507	0.025	0.025	0.025	0.986	0.004
3.440	-27.641	12.585	15.044	0.033	0.025	0.033	-0.255	0.003
3.503	-27.787	13.193	14.575	0.041	0.033	0.025	0.986	0.003
3.565	-27.927	13.827	14.088	0.033	0.025	0.025	-0.255	0.003
3.628	-28.012	14.399	13.595	0.033	0.041	0.025	2.226	0.004
3.690	-28.067	14.916	13.126	0.041	0.033	0.025	0.986	0.005
3.753	-28.128	15.452	12.639	0.041	0.033	0.016	-2.735	0.004
3.816	-28.122	15.927	12.170	0.041	0.041	0.025	0.986	0.004
3.878	-28.152	16.420	11.714	0.033	0.025	0.033	2.226	0.004
3.941	-28.146	16.895	11.239	0.041	0.025	0.025	0.986	0.003
4.003	-28.116	17.321	10.758	0.033	0.025	0.025	0.986	0.003
4.066	-28.073	17.784	10.265	0.041	0.025	0.016	-0.255	0.003
4.128	-27.988	18.149	9.833	0.033	0.033	0.025	-0.255	0.004
4.191	-27.878	18.551	9.297	0.033	0.033	0.025	0.986	0.004
4.253	-27.677	18.910	8.743	0.033	0.033	0.025	-0.255	0.003
4.316	-27.379	19.257	8.085	0.033	0.033	0.033	-0.255	0.004
4.378	-26.953	19.683	7.257	0.033	0.025	0.025	0.986	0.003
4.441	-26.484	20.091	6.374	0.041	0.025	0.041	-0.255	0.004
4.504	-25.960	20.560	5.394	0.033	0.033	0.025	0.986	0.002
4.566	-25.449	21.059	4.390	0.041	0.025	0.033	-0.255	0.003
4.629	-24.980	21.504	3.464	0.041	0.025	0.016	-0.255	0.004
4.691	-24.548	21.942	2.594	0.033	0.016	0.025	0.986	0.003
4.754	-24.171	22.362	1.802	0.033	0.025	0.025	0.986	0.004
4.816	-23.830	22.752	1.084	0.033	0.016	0.033	-1.495	0.003
4.879	-23.525	23.117	0.402	0.033	0.041	0.033	0.986	0.003
4.941	-23.178	23.464	-0.286	0.033	0.025	0.016	-1.495	0.003
5.004	-22.855	23.817	-0.962	0.033	0.025	0.025	-1.495	0.003
5.067	-22.533	24.140	-1.613	0.033	0.025	0.025	0.986	0.002
5.129	-22.180	24.457	-2.283	0.041	0.025	0.033	-0.255	-0.001
5.192	-21.833	24.792	-2.953	0.041	0.033	0.033	-0.255	0.002
5.254	-21.467	25.114	-3.616	0.041	0.025	0.025	-1.495	0.000
5.317	-21.126	25.419	-4.286	0.041	0.033	0.016	2.226	0.003
5.379	-20.779	25.735	-4.944	0.033	0.025	0.025	-0.255	0.003
5.442	-20.438	26.046	-5.589	0.041	0.033	0.025	-0.255	0.003
5.504	-20.073	26.332	-6.241	0.033	0.016	0.016	-0.255	0.003
5.567	-19.720	26.606	-6.862	0.033	0.033	0.025	-1.495	0.004
5.629	-19.379	26.843	-7.446	0.033	0.025	0.025	-0.255	0.004
5.692	-19.032	27.069	-8.018	0.033	0.025	0.025	0.986	0.004
5.755	-18.661	27.251	-8.560	0.033	0.033	0.025	-1.495	0.005
