Time (ms)	Ch1 V	Ch2 V	Ch3 V	Ch1 A	Ch2 A	Ch3 A	RPM	Torque
774.494	1.699	22.521	-24.195	0.033	0.025	0.016	0.986	-0.002
774.557	2.289	22.198	-24.475	0.033	0.033	0.025	0.986	0.000
774.619	2.855	21.894	-24.743	0.033	0.033	0.025	-0.255	-0.001
774.682	3.446	21.577	-25.017	0.033	0.025	0.025	-0.255	0.002
774.744	4.024	21.248	-25.266	0.033	0.016	0.033	0.986	0.000
774.807	4.615	20.889	-25.510	0.041	0.033	0.016	-0.255	0.002
774.869	5.169	20.554	-25.729	0.041	0.033	0.016	0.986	0.000
774.932	5.723	20.201	-25.930	0.025	0.025	0.025	0.986	-0.001
774.994	6.301	19.817	-26.131	0.041	0.025	0.041	-0.255	-0.001
775.057	6.837	19.434	-26.283	0.033	0.025	0.025	-0.255	-0.001
775.120	7.434	19.026	-26.441	0.041	0.016	0.025	0.986	-0.002
775.182	8.006	18.606	-26.618	0.033	0.033	0.025	-0.255	-0.002
775.245	8.578	18.198	-26.782	0.041	0.025	0.025	0.986	-0.001
775.307	9.139	17.790	-26.935	0.033	0.033	0.025	-1.495	-0.003
775.370	9.674	17.388	-27.075	0.041	0.033	0.025	-0.255	-0.001
775.432	10.210	17.011	-27.227	0.025	0.041	0.025	-0.255	-0.003
775.495	10.746	16.615	-27.373	0.033	0.033	0.025	-1.495	-0.003
775.557	11.276	16.231	-27.513	0.033	0.025	0.025	-0.255	-0.001
775.620	11.830	15.799	-27.635	0.041	0.025	0.025	-0.255	-0.003
775.683	12.426	15.342	-27.769	0.041	0.025	0.033	-2.735	-0.003
775.745	13.017	14.855	-27.897	0.033	0.016	0.025	0.986	-0.001
775.808	13.656	14.338	-28.018	0.041	0.016	0.016	-0.255	-0.003
775.870	14.265	13.827	-28.110	0.033	0.025	0.025	-0.255	-0.003
775.933	14.801	13.358	-28.164	0.041	0.016	0.033	0.986	-0.002
775.995	15.288	12.858	-28.177	0.033	0.033	0.016	-0.255	-0.006
776.058	15.775	12.396	-28.183	0.033	0.033	0.025	2.226	-0.005
776.120	16.231	11.945	-28.195	0.041	0.033	0.025	-0.255	-0.001
776.183	16.658	11.476	-28.152	0.033	0.041	0.033	0.986	-0.001
776.245	17.108	10.983	-28.097	0.033	0.025	0.025	0.986	-0.002
776.308	17.516	10.484	-28.012	0.049	0.033	0.025	-1.495	-0.001
776.371	17.912	9.954	-27.884	0.033	0.016	0.016	-0.255	-0.002
776.433	18.314	9.388	-27.708	0.033	0.033	0.025	-0.255	-0.001
776.496	18.697	8.743	-27.470	0.049	0.033	0.016	-1.495	-0.001
776.558	19.075	8.043	-27.142	0.033	0.025	0.025	-1.495	-0.001
776.621	19.489	7.215	-26.734	0.033	0.025	0.033	0.986	-0.003
776.683	19.933	6.307	-26.265	0.041	0.033	0.025	-0.255	-0.001
776.746	20.402	5.321	-25.741	0.041	0.033	0.033	0.986	-0.001
776.808	20.810	4.371	-25.199	0.041	0.025	0.041	-0.255	-0.001
776.871	21.327	3.349	-24.688	0.033	0.033	0.025	0.986	-0.005
776.934	21.827	2.429	-24.256	0.025	0.025	0.025	-0.255	-0.002
776.996	22.271	1.571	-23.854	0.041	0.033	0.033	0.986	-0.003
777.059	22.691	0.773	-23.483	0.033	0.025	0.016	-0.255	-0.002
777.121	23.117	0.043	-23.154	0.041	0.033	0.033	-0.255	-0.005
777.184	23.495	-0.670	-22.837	0.041	0.025	0.025	-0.255	-0.002
777.246	23.811	-1.309	-22.496	0.033	0.016	0.025	-0.255	-0.003
777.309	24.085	-1.936	-22.137	0.033	0.025	0.025	-0.255	-0.002
777.371	24.359	-2.581	-21.784	0.033	0.025	0.025	-0.255	-0.003
777.434	24.633	-3.209	-21.431	0.033	0.025	0.025	-0.255	-0.001
777.496	24.913	-3.817	-21.084	0.041	0.025	0.025	0.986	-0.002
777.559	25.169	-4.438	-20.737	0.033	0.025	0.033	-0.255	-0.002
777.622	25.437	-5.023	-20.402	0.041	0.025	0.025	2.226	0.000
777.684	25.680	-5.601	-20.073	0.033	0.033	0.025	-0.255	0.000
777.747	25.900	-6.161	-19.726	0.033	0.033	0.025	0.986	-0.001
777.809	26.107	-6.715	-19.379	0.041	0.025	0.025	-0.255	0.000
777.872	26.301	-7.300	-18.983	0.041	0.033	0.025	2.226	-0.001
777.934	26.484	-7.848	-18.606	0.033	0.033	0.025	-1.495	-0.001
777.997	26.642	-8.463	-18.167	0.041	0.025	0.025	0.986	-0.001
778.059	26.776	-9.023	-17.735	0.025	0.025	0.033	-0.255	-0.001
778.122	26.916	-9.620	-17.279	0.033	0.025	0.016	0.986	-0.002
778.185	27.026	-10.174	-16.840	0.033	0.016	0.025	-0.255	0.000
778.247	27.136	-10.709	-16.396	0.041	0.025	0.033	-0.255	-0.003
778.310	27.294	-11.288	-15.988	0.033	0.025	0.008	0.986	-0.001
778.372	27.470	-11.890	-15.543	0.041	0.025	0.025	0.986	-0.001
778.435	27.598	-12.499	-15.081	0.033	0.025	0.025	2.226	0.000
778.497	27.738	-13.108	-14.600	0.041	0.033	0.025	-0.255	0.000
778.560	27.884	-13.766	-14.100	0.041	0.025	0.025	-1.495	-0.001
778.622	27.988	-14.374	-13.595	0.049	0.025	0.025	-1.495	-0.002
778.685	28.061	-14.886	-13.169	0.049	0.033	0.025	-0.255	-0.001
778.747	28.110	-15.397	-12.688	0.041	0.025	0.016	0.986	0.000
778.810	28.116	-15.884	-12.219	0.033	0.025	0.033	2.226	-0.002
778.873	28.140	-16.353	-11.763	0.049	0.033	0.025	-1.495	0.000
778.935	28.134	-16.822	-11.294	0.033	0.033	0.025	-0.255	-0.001
778.998	28.116	-17.309	-10.788	0.041	0.025	0.033	-1.495	-0.001
779.060	28.031	-17.747	-10.259	0.033	0.033	0.033	-1.495	-0.001
779.123	27.927	-18.113	-9.796	0.033	0.025	0.025	0.986	-0.001
779.185	27.824	-18.545	-9.266	0.049	0.033	0.033	-0.255	0.000
779.248	27.647	-18.910	-8.712	0.041	0.033	0.025	-0.255	0.000
779.310	27.324	-19.257	-8.037	0.033	0.016	0.025	-0.255	-0.001
779.373	26.898	-19.653	-7.221	0.041	0.033	0.016	2.226	0.000
779.436	26.448	-20.061	-6.368	0.041	0.025	0.025	-1.495	0.002
779.498	25.960	-20.530	-5.419	0.041	0.033	0.025	0.986	-0.001
779.561	25.449	-21.011	-4.432	0.049	0.025	0.025	-1.495	-0.002
779.623	24.980	-21.455	-3.525	0.033	0.033	0.016	-0.255	-0.002
779.686	24.554	-21.918	-2.630	0.041	0.033	0.016	0.986	-0.002
779.748	24.158	-22.350	-1.796	0.033	0.025	0.025	-1.495	-0.002
779.811	23.823	-22.752	-1.059	0.033	0.025	0.016	-0.255	-0.001
779.873	23.483	-23.117	-0.365	0.033	0.033	0.016	-0.255	-0.001
779.936	23.160	-23.464	0.298	0.041	0.033	0.033	0.986	-0.002
779.998	22.837	-23.799	0.956	0.033	0.025	0.025	-0.255	-0.003
780.061	22.508	-24.104	1.595	0.033	0.033	0.025	-0.255	-0.001
780.124	22.174	-24.420	2.247	0.041	0.025	0.025	0.986	-0.002
780.186	21.814	-24.743	2.916	0.041	0.025	0.033	-1.495	-0.002
780.249	21.467	-25.072	3.580	0.041	0.033	0.025	-0.255	-0.002
780.311	21.132	-25.406	4.262	0.041	0.025	0.025	0.986	-0.002
780.374	20.767	-25.723	4.938	0.033	0.033	0.025	0.986	-0.001
